TIME(s)	'pip2,ap2'	'ap2,trans'	'ap2,aak1'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.00409	132	0	92	0	0	0	0	0	0	0	490
0.0041	132	0	93	0	0	0	0	0	0	0	491
0.00411	132	0	95	0	0	0	0	0	0	0	493
0.00412	132	0	95	0	0	0	0	0	0	0	493
0.00413	132	0	94	0	0	0	0	0	0	0	493
0.00414	132	0	94	0	0	0	0	0	0	0	495
0.00415	132	0	96	0	0	0	0	0	0	0	498
0.00416	133	0	97	0	0	0	0	0	0	0	500
0.00417	134	0	97	0	0	0	0	0	0	0	502
0.00418	134	0	97	0	0	0	0	0	0	0	502
0.00419	134	0	97	0	0	0	0	0	0	0	502
0.0042	135	0	97	0	0	0	0	0	0	0	503
0.00421	135	0	97	0	0	0	0	0	0	0	503
0.00422	135	0	96	0	0	0	0	0	0	0	503
0.00423	135	0	95	0	0	0	0	0	0	0	503
0.00424	135	0	94	0	0	0	0	0	0	0	504
0.00425	135	0	94	0	0	0	0	0	0	0	504
0.00426	135	0	93	0	0	0	0	0	0	0	504
0.00427	136	0	95	0	0	0	0	0	0	0	507
0.00428	136	0	98	0	0	0	0	0	0	0	511
0.00429	136	0	98	0	0	0	0	0	0	0	512
0.0043	137	0	97	0	0	0	0	0	0	0	513
0.00431	137	0	96	0	0	0	0	0	0	0	514
0.00432	137	0	97	0	0	0	0	0	0	0	517
0.00433	137	0	98	0	0	0	0	0	0	0	518
0.00434	138	0	98	0	0	0	0	0	0	0	519
0.00435	138	0	98	0	0	0	0	0	0	0	519
0.00436	138	0	97	0	0	0	0	0	0	0	519
0.00437	139	0	98	0	0	0	0	0	0	0	521
0.00438	138	0	99	0	0	0	0	0	0	0	522
0.00439	139	0	99	0	0	0	0	0	0	0	525
0.0044	139	0	99	0	0	0	0	0	0	0	526
0.00441	139	0	99	0	0	0	0	0	0	0	528
0.00442	139	0	98	0	0	0	0	0	0	0	529
0.00443	139	0	98	0	0	0	0	0	0	0	530
0.00444	139	0	99	0	0	0	0	0	0	0	532
0.00445	139	0	98	0	0	0	0	0	0	0	533
0.00446	139	0	97	0	0	0	0	0	0	0	534
0.00447	139	0	96	0	0	0	0	0	0	0	536
0.00448	139	0	97	0	0	0	0	0	0	0	537
0.00449	139	0	97	0	0	0	0	0	0	0	538
0.0045	139	0	96	0	0	0	0	0	0	0	538
0.00451	139	0	95	0	0	0	0	0	0	0	538
0.00452	140	0	94	0	0	0	0	0	0	0	541
0.00453	140	0	94	0	0	0	0	0	0	0	541
0.00454	141	0	94	0	0	0	0	0	0	0	544
0.00455	141	0	94	0	0	0	0	0	0	0	545
0.00456	141	0	92	0	0	0	0	0	0	0	545
0.00457	141	0	93	0	0	0	0	0	0	0	547
0.00458	142	0	93	0	0	0	0	0	0	0	549
0.00459	142	0	93	0	0	0	0	0	0	0	549
0.0046	144	0	94	0	0	0	0	0	0	0	553
0.00461	145	0	95	0	0	0	0	0	0	0	555
0.00462	145	0	95	0	0	0	0	0	0	0	555
0.00463	145	0	96	0	0	0	0	0	0	0	556
0.00464	145	0	96	0	0	0	0	0	0	0	557
0.00465	145	0	96	0	0	0	0	0	0	0	558
0.00466	145	0	95	0	0	0	0	0	0	0	561
0.00467	146	0	95	0	0	0	0	0	0	0	563
0.00468	146	0	94	0	0	0	0	0	0	0	564
0.00469	146	0	95	0	0	0	0	0	0	0	565
0.0047	146	0	95	0	0	0	0	0	0	0	565
0.00471	146	0	95	0	0	0	0	0	0	0	566
0.00472	146	0	98	0	0	0	0	0	0	0	571
0.00473	146	0	98	0	0	0	0	0	0	0	571
0.00474	147	0	99	0	0	0	0	0	0	0	574
0.00475	147	0	100	0	0	0	0	0	0	0	575
0.00476	147	0	99	0	0	0	0	0	0	0	575
0.00477	147	0	97	0	0	0	0	0	0	0	575
0.00478	147	0	97	0	0	0	0	0	0	0	577
0.00479	147	0	98	0	0	0	0	0	0	0	578
0.0048	147	0	97	0	0	0	0	0	0	0	579
0.00481	147	0	97	0	0	0	0	0	0	0	581
0.00482	148	0	98	0	0	0	0	0	0	0	585
0.00483	148	0	99	0	0	0	0	0	0	0	586
0.00484	149	0	99	0	0	0	0	0	0	0	587
0.00485	149	0	99	0	0	0	0	0	0	0	587
0.00486	149	0	98	0	0	0	0	0	0	0	587
0.00487	149	0	100	0	0	0	0	0	0	0	591
0.00488	149	0	99	0	0	0	0	0	0	0	591
0.00489	149	0	98	0	0	0	0	0	0	0	592
0.0049	150	0	99	0	0	0	0	0	0	0	595
0.00491	150	0	98	0	0	0	0	0	0	0	598
0.00492	149	1	98	0	0	0	0	0	0	0	600
0.00493	149	1	99	0	0	0	0	0	0	0	602
