Time (s): 0
Time (s): 0.00128
957	pip2: 1. 
464	trans: 1. 
457	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00129
957	pip2: 1. 
464	trans: 1. 
457	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.0013
956	pip2: 1. 
464	trans: 1. 
456	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
8	pip2: 1. ap2: 1. 
Time (s): 0.00131
956	pip2: 1. 
464	trans: 1. 
456	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
8	pip2: 1. ap2: 1. 
Time (s): 0.00132
956	pip2: 1. 
464	trans: 1. 
456	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
8	pip2: 1. ap2: 1. 
Time (s): 0.00133
956	pip2: 1. 
464	trans: 1. 
456	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
8	pip2: 1. ap2: 1. 
Time (s): 0.00134
955	pip2: 1. 
464	trans: 1. 
455	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00135
954	pip2: 1. 
464	trans: 1. 
454	ap2: 1. 
36	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00136
954	pip2: 1. 
463	trans: 1. 
454	ap2: 1. 
37	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00137
954	pip2: 1. 
462	trans: 1. 
454	ap2: 1. 
38	pip2: 1. ap2: 1. trans: 1. 
8	pip2: 1. ap2: 1. 
Time (s): 0.00138
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00139
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.0014
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00141
